"","X","Gene_symbol",".T0.s1",".T0.s2",".T0.s3",".T96.s4",".T96.s5",".T96.s6"
"11791",11791,"Pacsin2",3800.834795,3880.616315,4083.806304,2500.63174,2376.633157,2636.700239
"11792",11792,"Pacsin3",15.37632281,10.99769806,11.65414403,15.79602168,15.80208216,24.35750799
"11793",11793,"Padi1",0.961020176,2.356649584,0,1.215078591,4.213888576,2.029792332
"11794",11794,"Padi2",213.346479,206.5996136,208.8034139,43.74282928,53.72707934,46.68522364
"11795",11795,"Padi3",30.75264562,15.71099723,28.16418141,4.860314364,6.320832864,1.014896166
"11796",11796,"Padi4",4.805100878,3.927749307,12.6253227,6.075392955,1.053472144,6.089376996
"11797",11797,"Padi6",11.53224211,16.49654709,4.855893346,13.3658645,23.17638717,17.25323482
"11798",11798,"Paf1",1405.011497,1435.199597,1271.272878,902.8033931,795.3714687,989.5237619
"11799",11799,"Pafah1b1",2603.403656,2824.837302,2630.923015,1652.506884,1719.266539,1882.632388
"11800",11800,"Pafah1b2",2285.305978,2247.458154,2131.737179,2004.879675,1910.998469,1971.943251
"11801",11801,"Pafah1b3",257.5534071,239.5927077,306.8924595,224.7895393,265.4749803,276.0517572
"11802",11802,"Pafah2",142.230986,148.4689238,122.3685123,200.4879675,163.2881823,238.500599
"11803",11803,"Pag1",0,9.426598337,1.942357338,9.720628728,10.53472144,7.104273162
"11804",11804,"Pagr1a",501.6525317,471.3299169,575.9089508,373.0291274,352.9131682,358.2583466
"11805",11805,"Paics",1605.864714,1680.291154,1538.347012,1196.852412,1187.263106,1125.519848
"11806",11806,"Paip1",1250.287249,1325.222616,1185.809155,1394.910223,1512.785999,1338.648043
"11807",11807,"Paip2",986.9677204,986.650626,914.8503064,1244.240477,1266.273517,1309.216054
"11808",11808,"Paip2b",967.7473169,818.5429556,728.3840019,1255.176185,1268.380461,1231.069049
"11809",11809,"Pak1",585.261287,643.3653365,676.9115324,540.709973,625.7624535,632.2803114
"11810",11810,"Pak1ip1",733.258394,622.1554903,644.8626364,504.2576153,399.2659426,539.9247603
"11811",11811,"Pak2",1234.910926,1190.10804,1225.627481,814.102656,791.1575801,786.5445287
"11812",11812,"Pak3",8.649181581,7.855498614,16.51003738,17.01110027,31.60416432,24.35750799
"11813",11813,"Pak4",711.15493,709.3515249,715.7586792,715.6812901,668.9548114,750.0082667
"11814",11814,"Pak6",181.6328132,145.3267244,216.5728432,176.1863957,189.6249859,222.2622604
"11815",11815,"Pakap",2.883060527,5.49884903,4.855893346,3.645235773,11.58819358,7.104273162
"11816",11816,"Palb2",149.9191474,182.2475679,188.4086618,171.3260813,156.9673495,214.143091
"11817",11817,"Pald1",234.4889229,201.1007645,234.0540593,155.5300597,160.1277659,173.5472444
"11818",11818,"Palld",299.8382948,215.240662,202.0051632,120.2927805,95.8659651,93.37044728
"11819",11819,"Palm",2142.113972,2145.336672,2122.996571,1823.832965,1679.234598,1883.647284
"11820",11820,"Palm3",26.90856492,43.20524238,29.13536008,36.45235773,80.06388294,54.80439297
"11821",11821,"Palmd",1.922040351,3.927749307,1.942357338,1.215078591,9.481249296,4.059584664
"11822",11822,"Pals1",562.1968028,523.9617576,578.8224869,460.514786,439.2978841,442.4947284
"11823",11823,"Pals2",3067.576401,3005.51377,2923.247794,1684.098927,1728.747788,1669.504193
"11824",11824,"Pam",868.7622388,948.9442326,901.253805,630.6257887,623.6555093,658.6676118
"11825",11825,"Pam16",244.0991246,220.7395111,246.679382,212.6387534,270.742341,252.7091453
"11826",11826,"Pamr1",0,0,0,0,0,14.20854632
"11827",11827,"Pan2",164.33445,185.3897673,198.1204485,244.2307968,210.6944288,274.0219648
"11828",11828,"Pan3",925.4624292,890.8135429,911.9367704,661.0027535,569.9284299,586.609984
"11829",11829,"Pank1",188.3599544,135.900126,152.4750511,140.9491166,158.0208216,147.1599441
"11830",11830,"Pank2",507.4186528,425.7680249,403.0391477,538.2798158,517.2548227,549.0588258
"11831",11831,"Pank3",3317.441646,3168.122591,3026.192733,2556.525356,2578.899809,2518.972284
"11832",11832,"Pank4",188.3599544,167.3221205,145.6768004,139.734038,106.4006865,125.8471246
"11833",11833,"Panx1",53.81712984,43.20524238,42.73186145,108.1419946,86.38471581,71.04273162
"11834",11834,"Panx2",0.961020176,1.571099723,5.827072015,1.215078591,4.213888576,5.07448083
"11835",11835,"Paox",130.6987439,104.4781316,169.9562671,170.1110027,142.2187394,121.7875399
"11836",11836,"Papln",0.961020176,8.641048476,6.798250685,10.93570732,38.97846933,36.53626198
"11837",11837,"Papola",2239.177009,2161.047669,2195.834971,1625.775155,1505.411694,1676.608466
"11838",11838,"Papolb",41.32386755,27.49424515,26.22182407,4.860314364,4.213888576,3.044688498
"11839",11839,"Papolg",309.4484966,360.5673864,404.9815051,343.8672413,279.1701182,360.2881389
"11840",11840,"Pappa",11297.75319,11099.81954,11043.27265,15494.68219,19560.87077,16272.84513
"11841",11841,"Pappa2",7.688161405,8.641048476,1.942357338,10.93570732,5.26736072,7.104273162
"11842",11842,"Papss1",592.9494484,637.0809376,623.4967056,678.0138538,750.0721665,728.6954472
"11843",11843,"Papss2",1.922040351,14.13989751,57.29954148,14.58094309,16.8555543,16.23833866
"11844",11844,"Paqr3",199.8921965,230.1661094,256.3911687,1096.000889,967.0874282,967.1960462
"11845",11845,"Paqr4",336.3570615,434.4090734,440.9151158,274.6077616,277.0631739,305.483746
"11846",11846,"Paqr7",91.29691669,94.26598337,77.69429354,93.56105151,94.81249296,65.96825079
"11847",11847,"Paqr8",8.649181581,3.142199446,3.884714677,17.01110027,22.12291502,21.31281949
"11848",11848,"Pard3",2448.679408,2405.353676,2724.156167,2656.1618,2392.435239,2548.404273
"11849",11849,"Pard3b",17.29836316,26.70869529,4.855893346,27.94680759,29.49722003,30.44688498
"11850",11850,"Pard6a",44.20692808,66.77173822,42.73186145,140.9491166,93.75902082,93.37044728
"11851",11851,"Pard6b",104.7511991,120.1891288,122.3685123,86.27057996,84.27777152,58.86397763
"11852",11852,"Parg",1029.252608,1050.280165,1140.163758,1117.872304,961.8200675,951.9726038
"11853",11853,"Park7",1646.227561,1677.934504,1613.12777,1441.083209,1540.176275,1708.070247
"11854",11854,"Parl",975.4354783,1022.78592,926.5044504,1004.869995,1032.402701,1074.77504
"11855",11855,"Parn",631.3902554,630.7965387,621.5543483,608.7543741,600.4791221,606.9079073
"11856",11856,"Parp1",3599.981578,3502.766832,3699.219551,3106.955957,2882.299786,3368.440375
"11857",11857,"Parp10",272.9297299,267.0869529,264.160598,461.7298646,434.0305233,465.8373402
"11858",11858,"Parp11",91.29691669,90.33823406,121.3973337,83.84042278,56.88749578,107.5789936
"11859",11859,"Parp12",71.115493,91.12378393,59.24189882,55.89361519,37.92499718,48.71501597
"11860",11860,"Parp14",9.610201757,6.284398891,24.27946673,31.59204337,4.213888576,7.104273162
"11861",11861,"Parp16",51.89508949,36.13529363,50.5012908,72.90471546,93.75902082,58.86397763
"11862",11862,"Parp2",171.0615913,136.6856759,106.8296536,149.4546667,171.7159595,119.7577476
"11863",11863,"Parp3",98.02405792,107.620331,128.1955843,92.34597292,81.11735509,88.29596645
"11864",11864,"Parp4",372.8758282,299.2944972,345.7396062,377.8894418,373.9826111,449.5990016
"11865",11865,"Parp6",892.7877432,804.4030581,866.2913729,1058.333453,955.4992346,965.1662539
"11866",11866,"Parp8",1113.822384,957.5852811,1130.451971,1306.209485,1454.845031,1335.603355
"11867",11867,"Parp9",28.83060527,79.340536,70.89604285,78.98010842,56.88749578,72.05762779
"11868",11868,"Parpbp",254.6703466,200.3152147,268.0453127,261.2418971,290.7583117,288.2305112
"11869",11869,"Pars2",29.79162545,45.56189196,37.8759681,17.01110027,44.24583005,39.58095048
"11870",11870,"Particl",18.25938334,17.28209695,33.99125342,24.30157182,18.96249859,17.25323482
"11871",11871,"Parva",2004.688086,1973.301252,1962.75209,1098.431046,1020.814508,1080.864417
"11872",11872,"Parvaos",1.922040351,6.284398891,0,4.860314364,5.26736072,4.059584664
"11873",11873,"Parvb",2040.245833,2080.921583,2150.189574,1809.252022,1695.03668,1783.172564
"11874",11874,"Parvg",11.53224211,0.785549861,12.6253227,12.15078591,13.69513787,18.26813099
"11875",11875,"Pasd1",0.961020176,7.855498614,0,0,1.053472144,1.014896166
"11876",11876,"Pask",327.7078799,275.7280014,316.6042462,283.1133117,245.4590096,227.3367412
"11877",11877,"Pate2",10.57122193,4.713299169,0,14.58094309,17.90902645,22.32771565
"11878",11878,"Pate6",4.805100878,0,0.971178669,0,3.160416432,3.044688498
"11879",11879,"Patj",10.57122193,21.20984626,25.2506454,9.720628728,12.64166573,26.38730032
"11880",11880,"Patl1",654.4547396,622.1554903,717.7010366,617.2599242,694.2381429,573.4163338
"11881",11881,"Patz1",602.5596502,571.8802991,592.4189882,563.7964662,501.4527405,531.805591
"11882",11882,"Paupar",1.922040351,0.785549861,0,8.505550137,2.106944288,4.059584664
"11883",11883,"Pawr",580.4561861,567.167,543.8600548,496.9671437,518.3082949,531.805591
"11884",11884,"Pax1",0.961020176,0.785549861,0.971178669,3.645235773,5.26736072,2.029792332
"11885",11885,"Pax3",12.49326228,3.142199446,9.711786692,32.80712196,21.06944288,14.20854632
"11886",11886,"Pax4",8.649181581,0,0,9.720628728,3.160416432,1.014896166
"11887",11887,"Pax5",276.7738106,197.1730152,279.6994567,194.4125746,176.9833202,171.5174521
"11888",11888,"Pax6",103.790179,80.12608587,72.83840019,164.0356098,127.4701294,173.5472444
"11889",11889,"Pax7",8.649181581,7.069948753,8.740608023,8.505550137,13.69513787,8.119169328
"11890",11890,"Paxbp1",441.1082606,359.7818365,393.327361,522.4837941,514.0944063,568.341853
"11891",11891,"Paxip1",1678.902247,1670.079005,1711.216815,663.4329107,675.2756443,616.0419728
"11892",11892,"Paxx",59.58325089,42.41969252,23.30828806,41.3126721,47.40624648,40.59584664
"11893",11893,"Pbdc1",500.6915115,523.9617576,495.3011213,352.3727914,357.1270568,395.8095048
"11894",11894,"Pbk",1002.344043,1026.713669,884.7437677,624.5503958,641.5645357,675.9208466
"11895",11895,"Pbld1",24.98652457,27.49424515,28.16418141,18.22617887,11.58819358,8.119169328
"11896",11896,"Pbld2",2.883060527,3.142199446,7.769429354,15.79602168,21.06944288,20.29792332
"11897",11897,"Pbrm1",3451.023451,3497.267983,3389.413556,2345.101681,2266.018582,2243.935423
"11898",11898,"Pbx1",1275.273773,1214.460086,1152.78908,674.368618,800.6388294,656.6378194
"11899",11899,"Pbx2",648.6886186,684.2139293,600.1884176,517.6234798,578.3562071,499.3289137
"11900",11900,"Pbx3",883.1775415,849.9649501,897.3690904,713.2511329,661.5805064,747.9784744
"11901",11901,"Pbx4",24.98652457,26.70869529,44.67421878,70.47455828,51.62013506,32.47667731
"11902",11902,"Pbxip1",36.51876668,39.27749307,6.798250685,52.24837941,38.97846933,43.64053514
"11903",11903,"Pcare",0,8.641048476,5.827072015,6.075392955,8.427777152,10.14896166
"11904",11904,"Pcbd1",239.2940237,252.9470554,285.5265287,187.122103,182.2506809,252.7091453
"11905",11905,"Pcbd2",68.23243247,50.27519113,32.04889608,75.33487264,51.62013506,51.75970447
"11906",11906,"Pcbp1",3339.54511,3247.463127,3325.315763,1839.628987,1912.051941,1819.708826
"11907",11907,"Pcbp2",14643.06442,14034.63382,14222.91161,10546.88217,11160.48389,10705.12476
"11908",11908,"Pcbp3",9003.798026,8890.067782,9287.381614,4624.589117,4576.282994,4529.481589
"11909",11909,"Pcbp4",1235.871946,1103.697555,1194.549763,961.1271655,849.0985481,994.5982427
"11910",11910,"Pcca",132.6207842,161.8232715,157.3309444,136.0888022,190.6784581,117.7279553
"11911",11911,"Pccb",109.5563,142.1845249,139.8497284,133.658645,108.5076308,118.7428514
"11912",11912,"Pcdh1",6618.54595,6389.662573,7114.854931,5302.602971,5165.173922,4969.946525
