gene_id,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,.T0.s1,.T0.s2,.T0.s3,.T96.s4,.T96.s5,.T96.s6
ENSG00000238917,SNORD10,285.6057937,2.128103074,0.250311787,8.501809266,1.87E-17,3.81E-15,74.5650507,121.3202998,122.6126241,416.6201415,443.4405412,535.0761052
ENSG00000206941,SNORD15A,2700.85948,1.605610319,0.188984156,8.496004923,1.96E-17,3.96E-15,1209.610823,1155.866692,1643.218757,3609.763176,3946.517451,4640.179985
ENSG00000201588,RNA5S2,3605.981625,2.148741264,0.253283293,8.483549143,2.18E-17,4.37E-15,943.4550165,1386.042877,1651.602526,4434.501007,7982.963403,5237.324918
ENSG00000228218,ATF4P3,1240.550245,1.450881654,0.171161294,8.476692457,2.32E-17,4.59E-15,641.0523109,664.7687658,687.4690717,1558.782842,1784.098774,2107.129702
ENSG00000175197,DDIT3,140.5842402,2.60119857,0.306993913,8.473127517,2.39E-17,4.68E-15,54.88816232,27.42171159,37.72696125,216.3401642,246.0113026,261.1171394
ENSG00000132646,PCNA,665.133336,-1.619039261,0.191186721,-8.468366712,2.49E-17,4.83E-15,1056.338218,904.0855215,1050.067088,302.3093997,286.3240791,391.675709
ENSG00000285480,H2BK1,121.1903714,-10.34380461,1.225190937,-8.442606206,3.10E-17,5.97E-15,155.3438556,302.4697884,269.3285845,0,0,0
ENSG00000117020,AKT3,1020.49665,-1.273231602,0.152074465,-8.372422031,5.64E-17,1.08E-14,1477.83788,1475.78666,1377.034086,557.3829557,606.758969,628.1793476
ENSG00000095303,PTGS1,175.5415242,2.062138938,0.246511058,8.365299948,6.00E-17,1.12E-14,65.24441937,68.96975945,69.16609563,270.189026,252.2132682,327.4665764
ENSG00000277754,U3,750.8734008,2.183150717,0.260954489,8.366020917,5.96E-17,1.12E-14,173.9851183,290.836335,347.9264204,971.1689466,1487.438086,1233.885499
ENSG00000162733,DDR2,556.2717862,1.617351789,0.194798594,8.302687162,1.02E-16,1.87E-14,260.9776775,272.555194,287.144094,1008.957622,753.5388218,754.4573084
ENSG00000201998,SNORA23,144.3306333,2.458590094,0.296112139,8.302902089,1.02E-16,1.87E-14,45.56753099,29.91459446,58.68638417,251.2946885,241.8766588,238.6439429
ENSG00000206652,RNU1-1,1569.17314,14.10810553,1.700128777,8.298257007,1.06E-16,1.92E-14,0,0,0,778.4467042,2654.441282,5982.150857
ENSG00000199293,SNORA21,159.582653,2.872656946,0.347220931,8.273282759,1.30E-16,2.35E-14,18.64126268,55.67438413,39.82290354,232.400351,305.9636368,304.99338
ENSG00000110841,PPFIBP1,819.1454118,-1.333113726,0.161186732,-8.270617013,1.33E-16,2.38E-14,1106.048252,1177.471676,1234.51001,430.7908946,463.080099,502.9715389
ENSG00000115414,FN1,787.2978082,-1.671615271,0.202428052,-8.257824202,1.48E-16,2.63E-14,1159.900789,1227.329334,1207.26276,298.5305322,354.5457008,476.2177337
ENSG00000130402,ACTN4,1173.412154,-1.298094805,0.157372484,-8.248550026,1.60E-16,2.82E-14,1605.219842,1657.76711,1741.728044,632.0155888,645.0044236,758.7379172
ENSG00000169136,ATF5,246.4214139,1.880889553,0.22923852,8.204945453,2.31E-16,4.02E-14,96.31319049,98.05339295,121.5646529,329.7061891,415.531696,417.3593621
ENSG00000151929,BAG3,1030.244132,-1.342662075,0.163848471,-8.19453525,2.52E-16,4.34E-14,1510.977902,1450.857831,1471.351489,565.8854076,518.8977895,663.4943705
ENSG00000134057,CCNB1,4395.070433,1.848298112,0.226096948,8.174803449,2.96E-16,5.07E-14,1657.001127,1851.381013,2223.794771,9173.200847,6472.784777,4992.260062
ENSG00000132475,H3-3B,4860.058327,-1.396280873,0.170862309,-8.171965357,3.03E-16,5.15E-14,7185.171136,7075.632551,6870.498832,2188.908997,2658.575925,3181.562522
ENSG00000165029,ABCA1,383.5647972,1.603188423,0.196603097,8.154441327,3.51E-16,5.90E-14,188.4838782,166.1921914,215.882056,534.7097507,615.0282565,581.0926503
ENSG00000196220,SRGAP3,796.7472143,-1.242775985,0.152574039,-8.145396096,3.78E-16,6.31E-14,1117.440135,1101.854229,1141.240578,466.6901358,492.0226052,461.2356027
ENSG00000116717,GADD45A,149.8444716,2.400049534,0.29525074,8.12885188,4.33E-16,7.18E-14,39.35377676,53.18150126,50.302615,195.5563929,244.9776417,315.6949021
ENSG00000135829,DHX9,1715.611755,-1.337532408,0.164843185,-8.113968496,4.90E-16,8.05E-14,2590.099886,2340.817017,2443.868712,830.4061323,983.0115494,1105.467233
ENSG00000169840,GSX1,210.9057622,2.6944078,0.332903411,8.093662336,5.79E-16,9.43E-14,42.46065387,55.67438413,71.26203792,409.0624065,213.9678136,473.007277
ENSG00000187840,EIF4EBP1,674.8449432,1.622990172,0.20084659,8.080745475,6.44E-16,1.04E-13,353.1483651,278.3719207,361.5500453,869.1395242,985.0788713,1201.780932
ENSG00000164604,GPR85,161.4429879,2.144132143,0.265489123,8.076158157,6.68E-16,1.07E-13,66.28004507,63.98399371,48.20667271,284.3597791,222.2371011,283.5903358
ENSG00000196517,SLC6A9,123.1507275,2.583853714,0.322109866,8.021653433,1.04E-15,1.66E-13,35.21127394,24.92882872,46.11073042,173.8279048,250.1459463,208.679681
