gene_id,gene_name,.Exp.12H.1,.Exp.12H.2,.Exp.12H.3,.Exp.24H.4,.Exp.24H.5,.Exp.24H.6
GENE_537,BC023719,12,17,3,4,2,7
GENE_538,Dars1,14,37,14,20,31,29
GENE_539,Gm34321,4,3,0,0,5,1
GENE_540,Alg1,62,65,62,45,49,28
GENE_541,Elf1,24,58,24,25,35,36
GENE_542,Gm33292,0,3,1,3,5,8
GENE_543,Gk5,129,117,106,89,93,121
GENE_544,Klf1,29,32.471,32,8.82,17,12
GENE_545,Gins3,1,0,1,12,11,6
GENE_546,Rnf169,1,0,4,2,10,11
GENE_547,Pparg,2,5,0,2,2,3
GENE_548,Leprot,0,20,10,19,11,32
GENE_549,Zfta,757,972,770,546,632,711
GENE_550,Sart1,415,504,488,446,514,525
