"","gene"
"455","FUN_004342_hypothetical_protein"
"456","FUN_037412_ATP1B2_2"
"457","FUN_046066_SEMA6A_3"
"458","FUN_005833_NDUFS3"
"459","FUN_002623_hypothetical_protein"
"460","FUN_026465_hypothetical_protein"
"461","FUN_001389_RAP2A_1"
"462","FUN_020762_DHRS13_2"
"463","FUN_046655_PHF19_2"
"464","FUN_004362_CDK18_2"
"465","FUN_032888_PTPN9_1"
"466","FUN_017879_hypothetical_protein"
"467","FUN_033537_PARP6_3"
"468","FUN_046523_hypothetical_protein"
"469","FUN_019571_RIC8A"
"470","FUN_053305_ZBTB38"
"471","FUN_048709_AVPI1"
"472","FUN_004833_IQSEC1_2"
"473","FUN_035543_NPRL2"
"474","FUN_000561_MAP4K4_3"
"475","FUN_021302_PLPPR3_1"
"476","FUN_014233_SNTG1"
"477","FUN_046250_hypothetical_protein"
"478","FUN_042387_HOMER3_4"
"479","FUN_025601_NF1_3"
"480","FUN_005863_hypothetical_protein"
"481","FUN_050213_CLIP2_5"
"482","FUN_001549_TUBA1A_1"
"483","FUN_049563_hypothetical_protein"
"484","FUN_060128_hypothetical_protein"
"485","FUN_006805_hypothetical_protein"
"486","FUN_020363_SAE1_2"
"487","FUN_006765_OSTM1"
"488","FUN_005757_ATL2_1"
"489","FUN_050621_ARHGEF9_2"
"490","FUN_011615_SGPP1_1"
"491","FUN_019717_LRFN1"
"492","FUN_055325_MCM3_3"
"493","FUN_019732_IGSF11_2"
"494","FUN_012361_hypothetical_protein"
"495","FUN_038350_hypothetical_protein"
"496","FUN_024867_hypothetical_protein"
"497","FUN_020521_NF1_2"
"498","FUN_052793_BCL7B_2"
"499","FUN_019812_EFHD1_1"
"500","FUN_040481_RAB3IP"
"501","FUN_030123_AMDHD2"
"502","FUN_011374_hypothetical_protein"
"503","FUN_010064_CCDC85B"
"504","FUN_021548_HSBP1_2"
"505","FUN_059056_hypothetical_protein"
"506","FUN_018097_hypothetical_protein"
"507","FUN_054631_CHRNA3_2"
"508","FUN_033936_hypothetical_protein"
"509","FUN_034690_HES1"
"510","FUN_022021_CLASP1_3"
"511","FUN_027369_hypothetical_protein"
"512","FUN_021944_CCND1"
"513","FUN_020362_SAE1_1"
"514","FUN_031779_FERMT2_3"
"515","FUN_006790_STXBP5_3"
"516","FUN_006634_hypothetical_protein"
"517","FUN_050828_CTHRC1_2"
"518","FUN_054937_NUDT14"
"519","FUN_003427_hypothetical_protein"
"520","FUN_012465_ARL3_1"
"521","FUN_050620_ARHGEF9_1"
"522","FUN_049875_LRSAM1_1"
"523","FUN_055078_MCM3_1"
"524","FUN_041865_PPFIA2_1"
"525","FUN_038978_SLC3A2_3"
"526","FUN_011167_MC1R"
"527","FUN_046843_hypothetical_protein"
"528","FUN_020852_AMOTL2"
"529","FUN_034460_KRT18_1"
"530","FUN_006726_DDX1"
"531","FUN_045169_USF2_3"
