"","gene"
"224","FUN_051194_TRIP10_1"
"225","FUN_026933_hypothetical_protein"
"226","FUN_034343_hypothetical_protein"
"227","FUN_009853_FAT2_1"
"228","FUN_011057_hypothetical_protein"
"229","FUN_048503_TPT1"
"230","FUN_010796_MAPK12_1"
"231","FUN_016525_hypothetical_protein"
"232","FUN_000099_hypothetical_protein"
"233","FUN_012961_SGPL1"
"234","FUN_002274_hypothetical_protein"
"235","FUN_058073_PGAM5"
"236","FUN_009876_EEF1G_1"
"237","FUN_049852_CCBL1_4"
"238","FUN_053335_hypothetical_protein"
"239","FUN_023194_hypothetical_protein"
"240","FUN_021715_PKD1L2_2"
"241","FUN_010786_hypothetical_protein"
"242","FUN_001639_GJC1_1"
"243","FUN_034703_hypothetical_protein"
"244","FUN_049663_RNF43"
"245","FUN_014017_hypothetical_protein"
"246","FUN_041040_ARFGAP3"
"247","FUN_005904_hypothetical_protein"
"248","FUN_017900_hypothetical_protein"
"249","FUN_037785_HOXC6A"
"250","FUN_046833_hypothetical_protein"
"251","FUN_049320_ASS1_1"
"252","FUN_017497_GBA2"
"253","FUN_036276_SLC9A8_2"
"254","FUN_018417_hypothetical_protein"
"255","FUN_014253_AGAP3_5"
"256","FUN_024566_TPTE2"
"257","FUN_037258_hypothetical_protein"
"258","FUN_015100_hypothetical_protein"
"259","FUN_015809_hypothetical_protein"
"260","FUN_051283_CLPTM1L"
"261","FUN_058075_ANKLE2_3"
"262","FUN_049322_ASS1_2"
"263","FUN_031228_hypothetical_protein"
"264","FUN_009487_TTC17_2"
"265","FUN_057716_LOXL2B"
"266","FUN_006187_GPATCH2"
"267","FUN_000898_hypothetical_protein"
"268","FUN_002732_ANKRD50_1"
"269","FUN_039920_ATG4A"
"270","FUN_004706_MKRN2OS_1"
"271","FUN_035147_HMGA1"
"272","FUN_002713_morc3_7"
"273","FUN_004136_PIK3C2B"
"274","FUN_025930_CCR6"
"275","FUN_042006_AGFG1_4"
"276","FUN_043233_srsf7_1"
"277","FUN_029336_SERINC1_2"
"278","FUN_004041_hypothetical_protein"
"279","FUN_020832_hypothetical_protein"
"280","FUN_028996_ATP1A3_3"
"281","FUN_008967_TBC1D8B_2"
"282","FUN_034322_RNF5"
"283","FUN_032229_SRRM1_2"
"284","FUN_028165_ARG1"
"285","FUN_007603_ERN1_1"
"286","FUN_034431_PFKFB4_3"
"287","FUN_043088_URB1_3"
"288","FUN_036841_EPHA2_4"
"289","FUN_035144_HYAL1"
"290","FUN_047171_ITGB4"
"291","FUN_048414_hypothetical_protein"
"292","FUN_018534_SLC7A6_1"
"293","FUN_039323_CYSLTR2_2"
"294","FUN_003763_SYPL1_1"
"295","FUN_060302_GPR55"
"296","FUN_021156_hypothetical_protein"
"297","FUN_001163_hypothetical_protein"
"298","FUN_015282_PIK3R4_1"
"299","FUN_007514_TFAP4"
"300","FUN_004499_AEP1_3"
"301","FUN_049114_EPHB4A_2"
"302","FUN_011354_CERS2_1"
"303","FUN_034700_hypothetical_protein"
"304","FUN_011939_PNO1"
"305","FUN_015908_DGAT1_3"
"306","FUN_040673_LRIG3"
"307","FUN_010714_hypothetical_protein"
"308","FUN_018837_DPH2"
"309","FUN_044871_hypothetical_protein"
"310","FUN_036278_SLC9A8_3"
"311","FUN_000288_hypothetical_protein"
"312","FUN_028093_VSTM4_2"
"313","FUN_033079_hypothetical_protein"
"314","FUN_015986_MPP6_1"
"315","FUN_017560_hypothetical_protein"
"316","FUN_032954_hypothetical_protein"
"317","FUN_018430_CDC73"
"318","FUN_015907_DGAT1_1"
"319","FUN_044243_NAA50"
"320","FUN_013358_RGS12_2"
"321","FUN_027344_MKL1"
"322","FUN_017623_tnfsf10l_3"
"323","FUN_033778_hypothetical_protein"
"324","FUN_000342_CWC22_3"
"325","FUN_048484_KCTD12_2"
"326","FUN_010797_MAPK12_2"
"327","FUN_008596_hypothetical_protein"
"328","FUN_009929_MID2_3"
"329","FUN_047185_hypothetical_protein"
"330","FUN_031648_KRTCAP3"
"331","FUN_047189_hypothetical_protein"
"332","FUN_021628_hypothetical_protein"
"333","FUN_032145_LARP1B_2"
"334","FUN_026349_hypothetical_protein"
"335","FUN_023172_WIPF2_1"
"336","FUN_031685_SLC5A6_1"
"337","FUN_029558_hypothetical_protein"
"338","FUN_050752_APOA1BP"
"339","FUN_041962_EIF3K_1"
"340","FUN_009550_MTMR10_2"
"341","FUN_040357_TNPO3"
"342","FUN_007723_NTN1_3"
"343","FUN_042860_GIGYF2_1"
"344","FUN_033387_SH2D7"
"345","FUN_039183_ABHD11"
"346","FUN_057502_RSRC2"
"347","FUN_031479_hypothetical_protein"
"348","FUN_059800_hypothetical_protein"
"349","FUN_011767_DACT2"
"350","FUN_015856_MCL1_1"
"351","FUN_019157_hypothetical_protein"
"352","FUN_008963_hypothetical_protein"
"353","FUN_016751_hypothetical_protein"
"354","FUN_041150_hypothetical_protein"
"355","FUN_041497_TSPAN33_2"
"356","FUN_004495_hypothetical_protein"
"357","FUN_039686_UIMC1_3"
"358","FUN_013684_hypothetical_protein"
"359","FUN_007524_DNAJA3_2"
"360","FUN_006261_SCARA5_3"
"361","FUN_008849_SMG1"
"362","FUN_003973_ID1_1"
"363","FUN_024234_PBDC1"
"364","FUN_039567_hypothetical_protein"
"365","FUN_010040_HS6ST2_1"
"366","FUN_005283_hypothetical_protein"
"367","FUN_029712_hypothetical_protein"
"368","FUN_038047_hypothetical_protein"
"369","FUN_033809_hypothetical_protein"
"370","FUN_026570_ARHGEF15_1"
"371","FUN_029871_TXN2_1"
"372","FUN_023969_RBM18"
"373","FUN_037710_XCR1_4"
"374","FUN_033645_GXYLT1"
"375","FUN_015229_SELENBP1"
"376","FUN_020805_hypothetical_protein"
"377","FUN_053203_hypothetical_protein"
"378","FUN_017085_PRDX6_1"
"379","FUN_005553_hypothetical_protein"
"380","FUN_039138_STIM1_4"
"381","FUN_056302_HLA-DPB1_8"
"382","FUN_014675_ARHGAP21_2"
"383","FUN_045962_CCDC6_4"
"384","FUN_016158_hypothetical_protein"
"385","FUN_018189_hypothetical_protein"
"386","FUN_005001_hypothetical_protein"
"387","FUN_028094_VSTM4_3"
"388","FUN_006100_hypothetical_protein"
"389","FUN_042614_hypothetical_protein"
"390","FUN_025337_RABGEF1_1"
"391","FUN_022169_LRRK1_1"
"392","FUN_008503_MAP3K3"
"393","FUN_034821_SEMA5B_4"
"394","FUN_021768_SBF2_4"
"395","FUN_039329_PCF11"
"396","FUN_041335_FBXO18"
"397","FUN_043081_PITRM1_3"
"398","FUN_012592_TET1"
"399","FUN_006715_SMEK1"
"400","FUN_012076_hypothetical_protein"
"401","FUN_044069_CXorf23"
"402","FUN_004793_ECE1"
"403","FUN_060372_RFX5_2"
"404","FUN_022407_GPC1_2"
"405","FUN_015575_hypothetical_protein"
"406","FUN_037721_PINK1"
"407","FUN_029678_hypothetical_protein"
"408","FUN_024222_hypothetical_protein"
"409","FUN_042508_SIRT6_1"
"410","FUN_037116_hypothetical_protein"
"411","FUN_018052_USP53_1"
"412","FUN_060090_col6a6_8"
"413","FUN_049059_MPDU1_2"
"414","FUN_055440_BCL11B_4"
"415","FUN_049051_PDHA1_2"
"416","FUN_041082_LYRM5"
"417","FUN_036851_ARHGEF19"
"418","FUN_000171_OSGEPL1"
"419","FUN_006273_hypothetical_protein"
"420","FUN_024518_hypothetical_protein"
"421","FUN_037055_ARFGEF2"
"422","FUN_044413_TIMM21"
"423","FUN_022406_GPC1_1"
"424","FUN_010977_hypothetical_protein"
"425","FUN_035321_IGSF8"
"426","FUN_049851_CCBL1_3"
"427","FUN_056735_MFN2"
"428","FUN_048908_SH2D3A"
"429","FUN_030305_TNRC6B_2"
"430","FUN_004040_hypothetical_protein"
"431","FUN_049126_hypothetical_protein"
"432","FUN_015336_ECHDC1"
"433","FUN_021624_CRISPLD2_1"
"434","FUN_006671_ANGEL2_1"
"435","FUN_011493_SERTAD4"
"436","FUN_035768_LRRC8D_2"
"437","FUN_056172_RIMOC1"
"438","FUN_022958_SLC1A3_2"
"439","FUN_039593_hypothetical_protein"
"440","FUN_034701_hypothetical_protein"
"441","FUN_008975_STAG2_1"
"442","FUN_025896_ASAP2_3"
"443","FUN_054661_TBC1D1_2"
"444","FUN_020717_TNFRSF19_2"
"445","FUN_032814_SNX22"
"446","FUN_057861_ANKRD13A"
"447","FUN_056772_hypothetical_protein"
"448","FUN_025202_TMED2_1"
"449","FUN_021881_CHRNA7_1"
"450","FUN_004332_hypothetical_protein"
"451","FUN_041910_GNAI1_3"
"452","FUN_033707_WNT7B_1"
"453","FUN_003118_hypothetical_protein"
"454","FUN_055193_HOOK1"
"455","FUN_006883_hypothetical_protein"
"456","FUN_008074_hypothetical_protein"
"457","FUN_035865_hypothetical_protein"
"458","FUN_021390_DENND2B_2"
"459","FUN_007527_TTC18_2"
"460","FUN_058069_hypothetical_protein"
"461","FUN_036972_hypothetical_protein"
"462","FUN_015102_hypothetical_protein"
"463","FUN_025105_SMG6_3"
"464","FUN_016216_LENG8"
"465","FUN_046298_hypothetical_protein"
"466","FUN_017998_hypothetical_protein"
"467","FUN_000340_hypothetical_protein"
"468","FUN_041633_hypothetical_protein"
"469","FUN_020724_hypothetical_protein"
"470","FUN_030344_KDM1A"
"471","FUN_039893_RNF14"
