gene_id,Gene_symbol,.T0.s1,.T0.s2,.T0.s3,.T96.s4,.T96.s5,.T96.s6
g17738,Zhx2,192.2040351,223.8817105,233.0828806,290.4037833,302.3465053,317.6625
g17739,Zhx3,317.136658,326.7887424,398.1832544,171.3260813,154.8604052,186.7408946
g17740,Zic1,11.53224211,12.56879778,20.39475205,7.290471546,6.320832864,7.104273162
g17741,Zic2,3.844080703,10.99769806,1.942357338,2.430157182,12.64166573,11.16385783
g17742,Zic3,0,3.142199446,0,2.430157182,6.320832864,0
g17743,Zic4,16.33734299,11.78324792,33.02007475,18.22617887,13.69513787,12.17875399
g17744,Zic5,427.6539782,412.4136773,432.1745078,693.8098755,580.4631513,633.2952076
g17745,Zik1,473.7829466,454.0478199,440.9151158,416.7719567,396.1055261,450.6138977
g17746,Zim3,0,1.571099723,6.798250685,2.430157182,3.160416432,5.07448083
g17747,Zkscan1,1147.45809,981.9373268,1057.613571,1232.089691,1238.883241,1183.36893
g17748,Zkscan14,36.51876668,44.7763421,45.64539745,160.390374,159.0742937,135.9960863
g17749,Zkscan16,122.0495623,126.4735277,124.3108697,207.7784391,270.742341,284.1709265
g17750,Zkscan17,1314.6756,1274.947425,1414.036142,1460.524466,1349.497816,1356.916174
g17751,Zkscan2,189.3209746,158.681072,156.3597657,212.6387534,182.2506809,192.8302715
g17752,Zkscan3,128.7767035,131.9723767,168.0139098,155.5300597,226.496511,168.4727636
g17753,Zkscan4,15.37632281,18.85319667,18.45239472,23.08649323,21.06944288,25.37240415
g17754,Zkscan5,160.4903693,172.0354197,127.2244057,211.4236748,221.2291502,232.411222
g17755,Zkscan6,117.2444614,95.05153323,88.3772589,113.002309,120.0958244,143.1003594
g17756,Zkscan7,74.9595737,51.06074099,27.19300274,87.48565855,107.4541587,78.14700479
g17757,Zkscan8,337.3180817,297.7233975,299.1230301,289.1887047,367.6617783,268.947484
g17758,Zmat2,1709.654893,1699.14435,1627.69545,1342.661843,1412.706145,1585.267811
g17759,Zmat3,738.0634949,721.1347728,707.9892499,902.8033931,777.4624423,803.7977635
g17760,Zmat4,27.86958509,20.4242964,11.65414403,8.505550137,10.53472144,9.134065494
g17761,Zmat5,82.64773511,83.26828531,45.64539745,64.39916532,66.36874507,65.96825079
g17762,Zmiz1,2120.971528,2161.833219,2143.391323,1445.943523,1366.353371,1439.122763
g17763,Zmiz1os1,18.25938334,5.49884903,2.913536008,43.74282928,29.49722003,13.19365016
g17764,Zmiz2,1463.633728,1479.190389,1608.271876,1431.36258,1340.016567,1406.646086
g17765,Zmpste24,523.7559957,540.4583047,521.5229454,331.7164554,355.0201125,305.483746
g17766,Zmym1,212.3854588,218.3828615,198.1204485,227.2196965,181.1972088,178.6217252
g17767,Zmym2,935.0726309,846.0372008,903.1961624,948.9763796,1078.755475,1033.164297
g17768,Zmym3,411.3166352,351.9263379,421.4915424,494.5369866,528.8430163,427.2712859
g17769,Zmym4,1044.628931,959.9419307,959.5245252,950.1914582,893.3443781,891.0788338
g17770,Zmym5,253.7093264,320.5043435,238.9099526,309.8450407,261.2610917,302.4390575
g17771,Zmym6,146.0750667,124.902428,145.6768004,200.4879675,263.368036,270.9772763
g17772,Zmynd11,2355.460451,2461.127716,2273.529265,1993.943968,1984.741519,1972.958147
g17773,Zmynd19,1047.511991,1157.900496,1072.181251,684.0892468,782.729803,761.1721245
g17774,Zmynd8,1271.429692,1287.516223,1220.771587,1121.51754,1118.787417,1096.087859
g17775,Znf41-ps,68.23243247,71.48503739,55.35718415,140.9491166,114.8284637,119.7577476
g17776,Znfx1,707.3108493,661.4329833,712.8451432,432.5679784,470.9020484,425.2414936
g17777,Zng1,364.2266466,387.2760817,353.5090356,462.9449432,390.8381654,422.1968051
g17778,Znhit1,241.2160641,286.7256994,305.9212808,266.1022114,304.4534496,346.0795926
g17779,Znhit2,153.7632281,167.3221205,195.2069125,145.8094309,125.3631851,123.8173323
g17780,Znhit3,151.8411878,175.963169,122.3685123,119.0777019,107.4541587,142.0854632
g17781,Znhit6,974.4744581,1062.848963,1031.391747,835.9740706,841.7242431,872.8107028
g17782,Znrd2,160.4903693,149.2544737,166.0715524,99.63644446,156.9673495,138.0258786
g17783,Znrf1,636.1953563,593.8756952,645.833815,612.3996099,618.3881485,616.0419728
g17784,Znrf2,404.589494,334.644241,297.1806728,396.1156207,485.6506584,513.53746
g17785,Znrf3,324.8248194,358.2107368,410.8085771,314.7053551,337.1110861,356.2285543
g17786,Zpbp,22.10346404,29.06534487,14.56768004,17.01110027,35.8180529,20.29792332
g17787,Zpr1,856.2689765,784.7643116,833.2712982,640.3464175,608.9068992,629.235623
g17788,Zranb1,433.4200992,451.6911703,336.9989982,339.0069269,282.3305346,317.6625
g17789,Zranb2,1115.744424,1100.555356,1155.702616,761.8542766,834.3499381,849.468091
g17790,Zranb3,164.33445,199.5296648,149.5615151,137.3038808,155.9138773,147.1599441
