baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id,gene_name,.T0.s1,.T0.s2,.T0.s3,.T96.s4,.T96.s5,.T96.s6
28.71138051,-0.875258646,0.487253179,-1.796311824,0.072444938,0.140502446,1700008J07Rik,1700008J07Rik,22.10346404,29.06534487,60.21307749,27.94680759,12.64166573,20.29792332
2.423023227,2.198013776,1.544133648,1.423460838,0.154602607,0.260225605,1700008O03Rik,1700008O03Rik,0,1.571099723,0.971178669,3.645235773,6.320832864,2.029792332
2.008520948,0.278352043,1.508014927,0.184581756,0.853557097,0.908361708,1700010G06Rik,1700010G06Rik,0.961020176,1.571099723,2.913536008,2.430157182,3.160416432,1.014896166
20.36945516,0.759345033,0.493396034,1.539017302,0.123800072,0.217679092,1700010I14Rik,1700010I14Rik,14.41530264,12.56879778,18.45239472,30.37696478,20.01597074,26.38730032
4.582367984,1.465116988,1.270841341,1.152871677,0.248963059,0.377773628,1700012B09Rik,1700012B09Rik,0,7.069948753,0,12.15078591,4.213888576,4.059584664
6.534207258,0.195647483,0.901846194,0.216941075,0.828254266,0.891051082,1700012D01Rik,1700012D01Rik,1.922040351,4.713299169,11.65414403,8.505550137,6.320832864,6.089376996
6.187906127,1.132671467,0.990632646,1.14338193,0.252880052,0.382584122,1700012D16Rik,1700012D16Rik,2.883060527,4.713299169,3.884714677,19.44125746,3.160416432,3.044688498
679.2697156,0.725952308,0.08914017,8.143941254,3.83E-16,3.99E-15,1700017B05Rik,1700017B05Rik,499.7304914,509.8218601,526.3788387,828.6835991,883.8631288,827.1403753
12.29098744,4.743155334,1.029665387,4.606501677,4.09E-06,1.86E-05,1700019D03Rik,1700019D03Rik,0,1.571099723,0.971178669,21.87141464,16.8555543,32.47667731
5.061177989,1.74709278,1.04344951,1.674343381,0.094063133,0.174054693,1700019M22Rik,1700019M22Rik,1.922040351,3.927749307,0.971178669,12.15078591,6.320832864,5.07448083
2.284450966,2.181502137,1.797852768,1.213393097,0.224979564,0.349805643,1700020L13Rik,1700020L13Rik,0,2.356649584,0,7.290471546,0,4.059584664
20.93900413,0.770499578,0.544354221,1.415437868,0.156940154,0.263448735,1700020L24Rik,1700020L24Rik,4.805100878,21.99539612,19.42357338,25.51665041,30.55069218,23.34261182
3.467506542,-0.845617516,1.185413966,-0.713352078,0.475627919,0.611276441,1700021L23Rik,1700021L23Rik,2.883060527,4.713299169,5.827072015,1.215078591,2.106944288,4.059584664
7.053842487,1.464078202,1.028010592,1.424185912,0.154392662,0.2599976,1700021N21Rik,1700021N21Rik,10.57122193,0.785549861,0,13.3658645,9.481249296,8.119169328
2.119305332,1.952240048,1.637983416,1.191855808,0.233317789,0.359918882,1700022N22Rik,1700022N22Rik,0,1.571099723,0.971178669,6.075392955,1.053472144,3.044688498
45.80341308,1.791848125,0.35394882,5.062449784,4.14E-07,2.14E-06,1700024B05Rik,1700024B05Rik,24.02550439,17.28209695,20.39475205,81.4102656,76.90346651,54.80439297
1096.615761,-0.784856324,0.072753432,-10.78789418,3.93E-27,7.35E-26,1700025G04Rik,1700025G04Rik,1350.233347,1413.204201,1398.497284,833.5439134,802.7457737,781.4700479
1.925031141,-2.073635185,1.75241213,-1.183303373,0.236688936,NA,1700026J14Rik,1700026J14Rik,1.922040351,1.571099723,5.827072015,1.215078591,0,1.014896166
2.871991374,5.116381713,1.701041687,3.007793255,0.002631521,0.007577617,1700028I16Rik,1700028I16Rik,0,0,0,4.860314364,5.26736072,7.104273162
16.88975186,0.122887113,0.587452032,0.209186634,0.834302546,0.89509899,1700028K03Rik,1700028K03Rik,10.57122193,17.28209695,20.39475205,30.37696478,10.53472144,12.17875399
2.459184863,-1.358885066,1.555160679,-0.873790782,0.382232201,0.522082234,1700030C14Rik,1700030C14Rik,2.883060527,3.927749307,3.884714677,0,0,4.059584664
