baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id,gene_name
2.747106451,-0.958388305,1.479426635,-0.647810633,0.517107437,0.648446336,1700055D18Rik,1700055D18Rik
8.851557422,0.686172942,0.774260913,0.886229603,0.375493815,0.515860638,1700056E22Rik,1700056E22Rik
74.35330216,0.07106443,0.260145989,0.273171347,0.784721504,0.860964344,1700066M21Rik,1700066M21Rik
6.569549957,0.398623759,0.881595139,0.452161929,0.651152332,0.759783367,1700067K01Rik,1700067K01Rik
11.40866918,0.970197886,0.676724327,1.433667814,0.151667081,0.256297983,1700071G01Rik,1700071G01Rik
4.943973716,1.152923709,1.002795133,1.149710116,0.250263287,0.379416708,1700072B07Rik,1700072B07Rik
3.119379472,0.467395127,1.292234412,0.36169531,0.717579732,0.81176556,1700072F12Rik,1700072F12Rik
9.64660597,0.606551579,0.712265891,0.851580268,0.394447095,0.534743293,1700082M22Rik,1700082M22Rik
2.442294718,-0.79262985,1.551641502,-0.510833107,0.609467924,0.726982026,1700084J12Rik,1700084J12Rik
71.41040926,0.534220809,0.268815729,1.987312316,0.046887798,0.097258466,1700086O06Rik,1700086O06Rik
7.699909608,-0.118918097,0.862827736,-0.137823683,0.890379766,0.932201443,1700086P04Rik,1700086P04Rik
36.01452929,0.863157072,0.392068419,2.201547051,0.02769732,0.06191896,1700088E04Rik,1700088E04Rik
9.973732589,1.839628844,0.752574508,2.44444746,0.014507421,0.035010788,1700094M23Rik,1700094M23Rik
2.332028571,0.20446815,1.420997221,0.143890605,0.885586854,0.929022502,1700095J03Rik,1700095J03Rik
3.164042871,-3.944356495,1.655480294,-2.382605525,0.017190604,0.040615624,1700096K18Rik,1700096K18Rik
1.955848464,-0.760025672,1.667891259,-0.45568059,0.648619682,NA,1700102P08Rik,1700102P08Rik
2.07186153,-0.441304232,1.592268263,-0.277154448,0.781661515,0.858656749,1700105P06Rik,1700105P06Rik
3.384145507,2.823274904,1.507281286,1.873090928,0.06105583,0.121672459,1700109H08Rik,1700109H08Rik
3.015268819,2.15840754,1.530667993,1.410108234,0.158507726,0.265586043,1700112J16Rik,1700112J16Rik
5.397000096,-0.874874957,1.117976052,-0.782552502,0.433889943,0.572603492,1700113A16Rik,1700113A16Rik
1.794209806,-3.039401665,2.265308564,-1.341716406,0.179687965,NA,1700113H08Rik,1700113H08Rik
3.165857668,0.025353123,1.314260965,0.019290783,0.984609136,0.990454366,1700120B22Rik,1700120B22Rik
3.019624084,-1.617907858,1.34308805,-1.204617864,0.228350857,0.35347295,1700123M08Rik,1700123M08Rik
123.0145075,-0.023600715,0.226354613,-0.104264341,0.916959576,0.949210882,1700123O20Rik,1700123O20Rik
319.0041298,-0.638977205,0.127675497,-5.004697225,5.59E-07,2.84E-06,1810009A15Rik,1810009A15Rik
35.96629577,3.50752181,0.497301443,7.053110058,1.75E-12,1.45E-11,1810010H24Rik,1810010H24Rik
2.716428878,1.407897953,1.363503832,1.032558852,0.301810393,0.437209228,1810010K12Rik,1810010K12Rik
6.950958018,0.051879775,0.919438361,0.056425506,0.955002838,0.973976774,1810014B01Rik,1810014B01Rik
5.974754363,0.110989733,0.914315615,0.121391051,0.903381305,0.940398063,1810019N24Rik,1810019N24Rik
4.346149686,-0.251223497,1.082448097,-0.232088262,0.816469462,0.882616384,1810021M19Rik,1810021M19Rik
275.0846548,0.177208289,0.134265457,1.319835295,0.186890015,0.302101642,1810030O07Rik,1810030O07Rik
94.94179256,-0.383217291,0.229564191,-1.669325211,0.095052946,0.17553265,1810037I17Rik,1810037I17Rik
5.680782797,-0.345093245,1.119312404,-0.308308247,0.757847791,0.841735486,1810044D09Rik,1810044D09Rik
256.7035569,-0.176561742,0.146004032,-1.209293605,0.226550067,0.351402268,1810055G02Rik,1810055G02Rik
1.934164224,-0.265672545,1.75361181,-0.151500203,0.879581151,NA,1810062G17Rik,1810062G17Rik
11.61840446,0.083893505,0.702354018,0.119446181,0.904921876,0.941637497,2010001A14Rik,2010001A14Rik
6.079722663,-0.138669049,0.898468385,-0.154339375,0.877342152,0.923946217,2010004M13Rik,2010004M13Rik
49.52826557,-0.167917844,0.322772049,-0.520236634,0.602898655,0.72170029,2010204K13Rik,2010204K13Rik
64.26872176,0.976445331,0.304566439,3.206017488,0.001345858,0.004108669,2010315B03Rik,2010315B03Rik
26.51484814,-0.265531838,0.446555173,-0.59462269,0.55209571,0.678476723,2010320M18Rik,2010320M18Rik
4.059160511,1.368049435,1.155762698,1.183676751,0.236541046,0.363539175,2010320O07Rik,2010320O07Rik
3.102548878,2.500810856,1.525214845,1.639644975,0.101079006,0.184494028,2210011K15Rik,2210011K15Rik
134.5826082,0.220241182,0.199655515,1.103105926,0.269981168,0.401909017,2210016L21Rik,2210016L21Rik
48.1859582,0.304384197,0.329613026,0.92345925,0.355767927,0.495500383,2210408F21Rik,2210408F21Rik
45.31173865,0.131301843,0.336120853,0.390638789,0.69606425,0.795469444,2210408I21Rik,2210408I21Rik
2.925230409,-1.125893988,1.308291954,-0.860583133,0.389467679,0.529473392,2210416O15Rik,2210416O15Rik
119.5353216,0.036127799,0.532680573,0.067822632,0.945926827,0.968114755,2210418O10Rik,2210418O10Rik
37.14080461,0.132116322,0.425129664,0.310767122,0.755977666,0.840494216,2300009A05Rik,2300009A05Rik
75.95941567,0.591031071,0.268369967,2.202299596,0.027644153,0.061815938,2310009B15Rik,2310009B15Rik
2.188977455,0.448743357,1.581048286,0.283826472,0.776543367,0.8549717,2310010J17Rik,2310010J17Rik
61.54352739,-0.336636205,0.28277332,-1.19048079,0.233857476,0.36040632,2310011J03Rik,2310011J03Rik
41.00977649,0.256500751,0.375372994,0.683322335,0.494403184,0.628144338,2310015A10Rik,2310015A10Rik
297.2628332,-0.687470149,0.139502753,-4.92800418,8.31E-07,4.14E-06,2310022A10Rik,2310022A10Rik
564.6515333,-0.251318001,0.098144105,-2.56070398,0.010446032,0.026239867,2310022B05Rik,2310022B05Rik
11.49353789,-0.532769193,0.698671641,-0.762545897,0.445734261,0.583863709,2310030G06Rik,2310030G06Rik
339.513033,-1.058358773,0.135209691,-7.827536369,4.98E-15,4.88E-14,2310033P09Rik,2310033P09Rik
6.295452324,0.619765996,0.869620125,0.712685894,0.476040147,0.611446032,2310034G01Rik,2310034G01Rik
22.2628969,-0.148764251,0.491741225,-0.302525481,0.762251512,0.844349812,2310039H08Rik,2310039H08Rik
54.43082096,0.926729166,0.353945665,2.618280878,0.008837403,0.02263231,2310040G24Rik,2310040G24Rik
4.024345315,0.288123265,1.085605117,0.265403378,0.790698735,0.865347469,2310047D07Rik,2310047D07Rik
10.83888138,-0.0162316,0.663996427,-0.024445313,0.980497405,0.988274537,2310047K21Rik,2310047K21Rik
307.8365533,-0.193267884,0.143900772,-1.343063569,0.179251391,0.292517487,2310057M21Rik,2310057M21Rik
30.56735811,0.867865535,0.421143072,2.060738011,0.039328041,0.083808584,2310058D17Rik,2310058D17Rik
11.06191516,-0.308075013,0.721608512,-0.426928186,0.669431635,0.775236569,2310058N22Rik,2310058N22Rik
